"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin","2014M12",940.22
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin","2015M12",951.59
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin","2016M12",965.56
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin","2017M12",1016.94
"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin","2018M12",1040.63
"E39 Saniranje okolja in drugo ravnanje z odpadki","2014M12",876.85
"E39 Saniranje okolja in drugo ravnanje z odpadki","2015M12",864.33
"E39 Saniranje okolja in drugo ravnanje z odpadki","2016M12",867.52
"E39 Saniranje okolja in drugo ravnanje z odpadki","2017M12",824.28
"E39 Saniranje okolja in drugo ravnanje z odpadki","2018M12",834.43
"F GRADBENIŠTVO","2014M12",805.14
"F GRADBENIŠTVO","2015M12",802.59
"F GRADBENIŠTVO","2016M12",812.91
"F GRADBENIŠTVO","2017M12",835.13
"F GRADBENIŠTVO","2018M12",864.41
"F41 Gradnja stavb","2014M12",727.63
"F41 Gradnja stavb","2015M12",719.10
"F41 Gradnja stavb","2016M12",742.65
"F41 Gradnja stavb","2017M12",760.48
"F41 Gradnja stavb","2018M12",795.64
"F42 Gradnja inženirskih objektov","2014M12",909.26
"F42 Gradnja inženirskih objektov","2015M12",924.26
"F42 Gradnja inženirskih objektov","2016M12",929.01
"F42 Gradnja inženirskih objektov","2017M12",977.23
"F42 Gradnja inženirskih objektov","2018M12",1029.82
"F43 Specializirana gradbena dela","2014M12",793.17
"F43 Specializirana gradbena dela","2015M12",785.11
"F43 Specializirana gradbena dela","2016M12",795.44
"F43 Specializirana gradbena dela","2017M12",810.34
"F43 Specializirana gradbena dela","2018M12",832.21
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL","2014M12",911.23
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL","2015M12",920.95
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL","2016M12",935.47
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL","2017M12",969.84
"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL","2018M12",1006.36
"G45 Trgovina z motornimi vozili in popravila motornih vozil","2014M12",966.12
"G45 Trgovina z motornimi vozili in popravila motornih vozil","2015M12",974.28
"G45 Trgovina z motornimi vozili in popravila motornih vozil","2016M12",985.22
"G45 Trgovina z motornimi vozili in popravila motornih vozil","2017M12",1017.44
"G45 Trgovina z motornimi vozili in popravila motornih vozil","2018M12",1048.67
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili","2014M12",1068.03
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili","2015M12",1080.32
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili","2016M12",1096.47
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili","2017M12",1138.84
"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili","2018M12",1176.11
"G47 Trgovina na drobno, razen z motornimi vozili","2014M12",796.95
"G47 Trgovina na drobno, razen z motornimi vozili","2015M12",806.26
"G47 Trgovina na drobno, razen z motornimi vozili","2016M12",819.20
"G47 Trgovina na drobno, razen z motornimi vozili","2017M12",846.12
"G47 Trgovina na drobno, razen z motornimi vozili","2018M12",882.59
"H PROMET IN SKLADIŠÈENJE","2014M12",962.66
"H PROMET IN SKLADIŠÈENJE","2015M12",963.24
"H PROMET IN SKLADIŠÈENJE","2016M12",959.88
"H PROMET IN SKLADIŠÈENJE","2017M12",978.47
"H PROMET IN SKLADIŠÈENJE","2018M12",1005.48
"H49 Kopenski promet, cevovodni transport","2014M12",821.91
"H49 Kopenski promet, cevovodni transport","2015M12",820.33
"H49 Kopenski promet, cevovodni transport","2016M12",814.98
"H49 Kopenski promet, cevovodni transport","2017M12",835.33
"H49 Kopenski promet, cevovodni transport","2018M12",853.84
"H50 Vodni promet","2014M12",1561.86
"H50 Vodni promet","2015M12",1566.69
"H50 Vodni promet","2016M12",1557.14
"H50 Vodni promet","2017M12",1591.89
"H50 Vodni promet","2018M12",1615.92
"H51 Zraèni promet","2014M12",1712.38
"H51 Zraèni promet","2015M12",1683.45
"H51 Zraèni promet","2016M12",1824.39
"H51 Zraèni promet","2017M12",1912.12
"H51 Zraèni promet","2018M12",1950.76
"H52 Skladišèenje in spremljajoèe prometne dejavnosti","2014M12",1163.51
"H52 Skladišèenje in spremljajoèe prometne dejavnosti","2015M12",1189.80
"H52 Skladišèenje in spremljajoèe prometne dejavnosti","2016M12",1213.34
"H52 Skladišèenje in spremljajoèe prometne dejavnosti","2017M12",1249.99
"H52 Skladišèenje in spremljajoèe prometne dejavnosti","2018M12",1299.38
"H53 Poštna in kurirska dejavnost","2014M12",983.59
"H53 Poštna in kurirska dejavnost","2015M12",977.99
"H53 Poštna in kurirska dejavnost","2016M12",971.51
"H53 Poštna in kurirska dejavnost","2017M12",978.56
"H53 Poštna in kurirska dejavnost","2018M12",1019.06
"I GOSTINSTVO","2014M12",740.62
"I GOSTINSTVO","2015M12",731.45
"I GOSTINSTVO","2016M12",741.47
"I GOSTINSTVO","2017M12",761.60
"I GOSTINSTVO","2018M12",794.66
"I55 Gostinske nastanitvene dejavnosti","2014M12",842.23
"I55 Gostinske nastanitvene dejavnosti","2015M12",838.65
"I55 Gostinske nastanitvene dejavnosti","2016M12",852.10
"I55 Gostinske nastanitvene dejavnosti","2017M12",872.06
"I55 Gostinske nastanitvene dejavnosti","2018M12",906.94
"I56 Dejavnost strežbe jedi in pijaè","2014M12",654.94
"I56 Dejavnost strežbe jedi in pijaè","2015M12",645.87
"I56 Dejavnost strežbe jedi in pijaè","2016M12",660.42
"I56 Dejavnost strežbe jedi in pijaè","2017M12",683.84
"I56 Dejavnost strežbe jedi in pijaè","2018M12",717.97
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI","2014M12",1298.65
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI","2015M12",1310.59
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI","2016M12",1317.04
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI","2017M12",1361.47
"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI","2018M12",1410.99
"J58 Založništvo","2014M12",1195.52
"J58 Založništvo","2015M12",1200.96
"J58 Založništvo","2016M12",1198.67
"J58 Založništvo","2017M12",1244.51
"J58 Založništvo","2018M12",1270.26
"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi","2014M12",936.50
"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi","2015M12",966.01
"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi","2016M12",931.65
"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi","2017M12",948.05
"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi","2018M12",991.41
"J60 Radijska in televizijska dejavnost","2014M12",1204.58
"J60 Radijska in televizijska dejavnost","2015M12",1199.69
"J60 Radijska in televizijska dejavnost","2016M12",1185.42
"J60 Radijska in televizijska dejavnost","2017M12",1217.82
"J60 Radijska in televizijska dejavnost","2018M12",1227.54
"J61 Telekomunikacijske dejavnosti","2014M12",1399.64
"J61 Telekomunikacijske dejavnosti","2015M12",1410.48
"J61 Telekomunikacijske dejavnosti","2016M12",1426.62
"J61 Telekomunikacijske dejavnosti","2017M12",1465.64
"J61 Telekomunikacijske dejavnosti","2018M12",1494.05
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti","2014M12",1341.79
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti","2015M12",1356.58
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti","2016M12",1378.20
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti","2017M12",1425.15
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti","2018M12",1496.22
"J63 Druge informacijske dejavnosti","2014M12",1239.61
"J63 Druge informacijske dejavnosti","2015M12",1223.26
"J63 Druge informacijske dejavnosti","2016M12",1191.43
"J63 Druge informacijske dejavnosti","2017M12",1240.79
"J63 Druge informacijske dejavnosti","2018M12",1311.89
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI","2014M12",1362.22
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI","2015M12",1386.88
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI","2016M12",1408.60
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI","2017M12",1471.60
"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI","2018M12",1531.98
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov","2014M12",1365.99
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov","2015M12",1397.91
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov","2016M12",1433.63
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov","2017M12",1494.69
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov","2018M12",1558.26
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti","2014M12",1438.20
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti","2015M12",1459.01
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti","2016M12",1465.87
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti","2017M12",1543.51
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti","2018M12",1604.85
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve","2014M12",1067.65
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve","2015M12",1072.95
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve","2016M12",1064.54
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve","2017M12",1111.82
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve","2018M12",1145.15
"L POSLOVANJE Z NEPREMIÈNINAMI","2014M12",972.06
"L POSLOVANJE Z NEPREMIÈNINAMI","2015M12",964.64
"L POSLOVANJE Z NEPREMIÈNINAMI","2016M12",970.96
"L POSLOVANJE Z NEPREMIÈNINAMI","2017M12",993.68
"L POSLOVANJE Z NEPREMIÈNINAMI","2018M12",1002.27
"L68 Poslovanje z nepremièninami","2014M12",972.06
"L68 Poslovanje z nepremièninami","2015M12",964.64
"L68 Poslovanje z nepremièninami","2016M12",970.96
"L68 Poslovanje z nepremièninami","2017M12",993.68
"L68 Poslovanje z nepremièninami","2018M12",1002.27
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI","2014M12",1090.53
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI","2015M12",1095.77
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI","2016M12",1106.13
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI","2017M12",1156.24
"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI","2018M12",1198.99
"M69 Pravne in raèunovodske dejavnosti","2014M12",990.27
"M69 Pravne in raèunovodske dejavnosti","2015M12",983.56
"M69 Pravne in raèunovodske dejavnosti","2016M12",996.93
"M69 Pravne in raèunovodske dejavnosti","2017M12",1029.76
"M69 Pravne in raèunovodske dejavnosti","2018M12",1056.25
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje","2014M12",956.94
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje","2015M12",974.91
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje","2016M12",984.38
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje","2017M12",1065.53
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje","2018M12",1126.20
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje","2014M12",1094.26
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje","2015M12",1088.92
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje","2016M12",1097.53
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje","2017M12",1155.16
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje","2018M12",1199.22
"M72 Znanstvena raziskovalna in razvojna dejavnost","2014M12",1310.94
"M72 Znanstvena raziskovalna in razvojna dejavnost","2015M12",1321.23
"M72 Znanstvena raziskovalna in razvojna dejavnost","2016M12",1346.31
"M72 Znanstvena raziskovalna in razvojna dejavnost","2017M12",1386.52
"M72 Znanstvena raziskovalna in razvojna dejavnost","2018M12",1413.38
"M73 Oglaševanje in raziskovanje trga","2014M12",1298.21
"M73 Oglaševanje in raziskovanje trga","2015M12",1278.52
